as_of,record_type,region,sort_order,key,label,market,target,window,method,family,period,week_label,cutoff_day,value,value_label,prior_period,signal,interpretation,status,rank,months,mae,rmse,pearson,forecast,actual,error,note,
2026-07-05,meta,,1,generatedAt,,,,,,,,,,2026-07-05,,,,,,,,,,,,,,,
2026-07-05,meta,,3,nextUpdate,,,,,,,,,,2026-07-06,,,,,,,,,,,,,,,
2026-07-05,monthly_prediction,us,1,,US,,,,,,Jul-26,,,38.18,38.18,Jun-26,"-11.32 vs Jun-26, based on the latest ConsumerSim run.",The latest information environment points to softer household sentiment.,,,,,,,,,,,
2026-07-05,monthly_prediction,eu,2,,EU27,,,,,,Jul-26,,,-5.75,-5.75,Jun-26,"+11.25 vs Jun-26, based on the latest ConsumerSim run.",The latest information environment points to a broadly stable confidence path.,,,,,,,,,,,
2026-07-05,monthly_prediction,jp,3,,Japan,,,,,,Jul-26,,,51.95,51.95,Jun-26,"+18.15 vs Jun-26, based on the latest ConsumerSim run.",The latest information environment points to firmer household sentiment.,,,,,,,,,,,
2026-07-05,weekly_prediction,us,1,,US,,,,,,Jul-26,May W2,10,,,,Softening signal,Weekly nowcast through 2026-05-10 from the ConsumerSim pipeline.,,,,,,,56.01,35.98,39.87,,
2026-07-05,weekly_prediction,us,2,,US,,,,,,Jul-26,May W3,17,,,,Softening signal,Weekly nowcast through 2026-05-17 from the ConsumerSim pipeline.,,,,,,,56.01,36.60,39.45,,
2026-07-05,weekly_prediction,us,3,,US,,,,,,Jul-26,May W4,24,,,,Softening signal,Weekly nowcast through 2026-05-24 from the ConsumerSim pipeline.,,,,,,,57.26,40.35,39.03,,
2026-07-05,weekly_prediction,us,4,,US,,,,,,Jul-26,May W5,31,,,,Softening signal,Weekly nowcast through 2026-05-31 from the ConsumerSim pipeline.,,,,,,,52.51,30.98,37.37,,
2026-07-05,weekly_prediction,us,5,,US,,,,,,Jul-26,Jun W1,7,,,,Softening signal,Weekly nowcast through 2026-06-07 from the ConsumerSim pipeline.,,,,,,,57.34,39.31,39.87,,
2026-07-05,weekly_prediction,us,6,,US,,,,,,Jul-26,Jun W2,14,,,,Softening signal,Weekly nowcast through 2026-06-14 from the ConsumerSim pipeline.,,,,,,,53.84,34.52,37.23,,
2026-07-05,weekly_prediction,us,7,,US,,,,,,Jul-26,Jun W3,21,,,,Softening signal,Weekly nowcast through 2026-06-21 from the ConsumerSim pipeline.,,,,,,,57.18,39.52,39.45,,
2026-07-05,weekly_prediction,us,8,,US,,,,,,Jul-26,Jun W4,28,,,,Softening signal,Weekly nowcast through 2026-06-28 from the ConsumerSim pipeline.,,,,,,,57.76,36.39,42.50,,
2026-07-05,weekly_prediction,us,9,,US,,,,,,Jul-26,Jul W1,5,,,,Softening signal,Weekly nowcast through 2026-07-05 from the ConsumerSim pipeline.,,,,,,,55.76,41.39,42.50,,
2026-07-05,weekly_prediction,eu,1,,EU27,,,,,,Jul-26,May W2,10,,,,Softening signal,Weekly nowcast through 2026-05-10 from the ConsumerSim pipeline.,,,,,,,-10.00,-7.23,-8.34,,
2026-07-05,weekly_prediction,eu,2,,EU27,,,,,,Jul-26,May W3,17,,,,Softening signal,Weekly nowcast through 2026-05-17 from the ConsumerSim pipeline.,,,,,,,-14.66,-9.31,-14.73,,
2026-07-05,weekly_prediction,eu,3,,EU27,,,,,,Jul-26,May W4,24,,,,Softening signal,Weekly nowcast through 2026-05-24 from the ConsumerSim pipeline.,,,,,,,-18.58,-20.36,-13.90,,
2026-07-05,weekly_prediction,eu,4,,EU27,,,,,,Jul-26,May W5,31,,,,Softening signal,Weekly nowcast through 2026-05-31 from the ConsumerSim pipeline.,,,,,,,-20.66,-23.27,-15.42,,
2026-07-05,weekly_prediction,eu,5,,EU27,,,,,,Jul-26,Jun W1,7,,,,Softening signal,Weekly nowcast through 2026-06-07 from the ConsumerSim pipeline.,,,,,,,-26.33,-31.40,-19.45,,
2026-07-05,weekly_prediction,eu,6,,EU27,,,,,,Jul-26,Jun W2,14,,,,Softening signal,Weekly nowcast through 2026-06-14 from the ConsumerSim pipeline.,,,,,,,-25.66,-29.73,-19.45,,
2026-07-05,weekly_prediction,eu,7,,EU27,,,,,,Jul-26,Jun W3,21,,,,Softening signal,Weekly nowcast through 2026-06-21 from the ConsumerSim pipeline.,,,,,,,-23.83,-28.27,-17.37,,
2026-07-05,weekly_prediction,eu,8,,EU27,,,,,,Jul-26,Jun W4,28,,,,Softening signal,Weekly nowcast through 2026-06-28 from the ConsumerSim pipeline.,,,,,,,-22.66,-31.81,-13.06,,
